key,text
dialogue_lines.dlg_white_knight_l02.text,"""We enter when the price is rotten enough. Can you make it rottener?"""
dialogue_lines.dlg_white_knight_l03.text,Yes—if you remember my name.
effect_ops.add.description,Add to a value (may be negative)
effect_ops.clamp_add.description,Add then clamp to min/max
effect_ops.mul.description,Multiply by a factor (reserved)
effect_ops.set.description,Set to an absolute value
endings.ending_a.description,You carry intel into Tongyang and hijack Hongyuan's order once.
endings.ending_a.name,Counterstrike · Tongyang Lead
endings.ending_b.description,You force a public clash and brush the warehouse seat and the core ledgers. The demo leaves a hook.
endings.ending_b.name,Father–Son Fracture · Warehouse Chief
endings.ending_c.description,A successful short funds you and opens higher market tools.
endings.ending_c.name,First Pot · Exchange
endings.ending_fail_broke.description,"Pockets empty. Boards, chants, lids remain; only ambition's fire dies for now.|||The harbor won't mourn—only whether you dare another sack tomorrow."
endings.ending_fail_broke.name,Penniless
endings.ending_fail_fired.description,"Hongyuan's door shuts. Badge gone, life not—the chant is honester than the roster.|||Harbor remains: haul, find another door, or pry the crack wider."
endings.ending_fail_fired.name,Shown the door (disabled)
event_choices.ch_a_ok.label,First strike landed
event_choices.ch_b_clash_ok.label,The crack is here — milestone reached
event_choices.ch_b_push.label,Add more fuel
event_choices.ch_b_wait.label,Hold back; stay unseen
event_choices.ch_c_ok.label,First pot of gold secured
event_choices.ch_d3_ok.label,I note it
event_choices.ch_d5_ok.label,"...Yes, boss"
event_choices.ch_d6_ask.label,Confront Wanqing
event_choices.ch_d6_hold.label,Swallow it and watch
event_choices.ch_d7_defect.label,Reach Tongyang and prepare to strike back
event_choices.ch_d7_endure.label,Stay at Hongyuan and divide them slowly
event_choices.ch_d7_finance.label,Save for the exchange and play the market
event_choices.ch_ev_a_d10_list_delay.label,Say you'll think
event_choices.ch_ev_a_d10_list_take.label,Take the list
event_choices.ch_ev_a_d12_probe_ok.label,Agree to fetch a sailing
event_choices.ch_ev_a_d14_tea_hold.label,Refuse—raise your price
event_choices.ch_ev_a_d14_tea_sell.label,Sell half-price for trust
event_choices.ch_ev_a_d15_leak_clean.label,Wash the cuff in public
event_choices.ch_ev_a_d15_leak_ignore.label,Ignore it
event_choices.ch_ev_a_d17_shadow_hide.label,Take the open road
event_choices.ch_ev_a_d17_shadow_risk.label,Keep using the door
event_choices.ch_ev_a_d18_order_lie.label,Lie that they can't
event_choices.ch_ev_a_d18_order_yes.label,Tell them: yes they can
event_choices.ch_ev_a_d20_pressure_hide.label,Lie low
event_choices.ch_ev_a_d20_pressure_strike.label,Push Tongyang to strike faster
event_choices.ch_ev_a_d21_packet_burn.label,Burn the envelope
event_choices.ch_ev_a_d21_packet_go.label,Go as arranged
event_choices.ch_ev_a_d23_wall_ok.label,Nod and own it
event_choices.ch_ev_a_d24_cover_refuse.label,Refuse that shield
event_choices.ch_ev_a_d24_cover_take.label,Take it as a shield
event_choices.ch_ev_a_d26_forward.label,Push the door
event_choices.ch_ev_a_d26_pause.label,Pause one breath
event_choices.ch_ev_a_d28_ready_ok.label,Confirm all three
event_choices.ch_ev_a_d28_ready_wait.label,Still short—one more night
event_choices.ch_ev_a_d30_hook_ok.label,Remember the crack
event_choices.ch_ev_a_d8_smoke_ok.label,Take the line
event_choices.ch_ev_a_d9_dock_feed.label,Leak a fake shift
event_choices.ch_ev_a_d9_dock_ok.label,Keep the shift quiet
event_choices.ch_ev_a_offer_interest.label,Seriously consider Tongyang
event_choices.ch_ev_a_offer_ok.label,Slip the note into your sleeve
event_choices.ch_ev_b_d10_tea_ask.label,Ask for the rest
event_choices.ch_ev_b_d10_tea_ok.label,Pretend you were passing
event_choices.ch_ev_b_d11_su_letter_allow.label,Pretend generosity; let her go
event_choices.ch_ev_b_d11_su_letter_forbid.label,Tear the note; confront her
event_choices.ch_ev_b_d13_gift_keep.label,Keep it as leverage
event_choices.ch_ev_b_d13_gift_return.label,Insist on returning it
event_choices.ch_ev_b_d14_elder_drink_ok.label,Remember the crack
event_choices.ch_ev_b_d16_fake_ledger_ok.label,Fan the rumor
event_choices.ch_ev_b_d17_echo_ok.label,Let the echo roll
event_choices.ch_ev_b_d19_su_afraid_comfort.label,Hold her; promise protection
event_choices.ch_ev_b_d19_su_afraid_use.label,Use fear; have her pass another lie
event_choices.ch_ev_b_d21_watchman_ok.label,Slow down; dodge the edge
event_choices.ch_ev_b_d22_rain_love.label,Say it's to protect her
event_choices.ch_ev_b_d22_rain_truth.label,Admit it's for the crack
event_choices.ch_ev_b_d24_boardroom_noise_ok.label,File what you heard
event_choices.ch_ev_b_d25_mirror_ok.label,Dry your hands and continue
event_choices.ch_ev_b_d27_promotion_hint_ok.label,Act humble; prepare in secret
event_choices.ch_ev_b_d28_calm_before_ok.label,Sort the proof once more
event_choices.ch_ev_b_d29_whisper_low.label,Keep your head down
event_choices.ch_ev_b_d29_whisper_push.label,Fan it once more
event_choices.ch_ev_b_d30_hook_ok.label,Mark this page
event_choices.ch_ev_b_d8_corridor_endure.label,Nod and yield
event_choices.ch_ev_b_d8_corridor_stare.label,Stare back
event_choices.ch_ev_b_d9_night_shift_ok.label,Bite down and keep hauling
event_choices.ch_ev_boss_watching_ok.label,Act as if nothing
event_choices.ch_ev_c_d10_tip_buy.label,Treat it as real
event_choices.ch_ev_c_d10_tip_pass.label,"Listen, don't touch"
event_choices.ch_ev_c_d12_open_ok.label,Wipe sweat on your seam
event_choices.ch_ev_c_d13_tick_ok.label,Follow the whisper
event_choices.ch_ev_c_d15_margin_add.label,Top up margin
event_choices.ch_ev_c_d15_margin_cut.label,Cut and wait
event_choices.ch_ev_c_d16_audit_flat.label,Flatten toward neutral
event_choices.ch_ev_c_d16_audit_short.label,Lean shorter
event_choices.ch_ev_c_d17_rumor_push.label,Push the false line
event_choices.ch_ev_c_d17_rumor_true.label,Switch to truth
event_choices.ch_ev_c_d18_ally_nod.label,Nod—no intel swap
event_choices.ch_ev_c_d18_ally_trade.label,Swap half a schedule tip
event_choices.ch_ev_c_d19_vip_pay.label,Pay the door fee
event_choices.ch_ev_c_d19_vip_wait.label,Wait outside
event_choices.ch_ev_c_d21_spike_cut.label,Stop-loss out
event_choices.ch_ev_c_d21_spike_hold.label,Hold without cutting
event_choices.ch_ev_c_d22_drift_hold.label,Hold
event_choices.ch_ev_c_d22_drift_think_close.label,Consider closing
event_choices.ch_ev_c_d24_broker_go.label,Go listen over drinks
event_choices.ch_ev_c_d24_broker_skip.label,Skip the drinks
event_choices.ch_ev_c_d25_cut.label,Cut to stop loss
event_choices.ch_ev_c_d25_hold.label,Grit and hold
event_choices.ch_ev_c_d28_ready_ok.label,Prep to settle at open
event_choices.ch_ev_c_d30_hook_ok.label,Note the light past the crack
event_choices.ch_ev_c_d8_board_ok.label,Log the open
event_choices.ch_ev_c_d9_ledger_ride.label,Trade the twitch
event_choices.ch_ev_c_d9_ledger_wait.label,See who started it
event_choices.ch_ev_c_profit_milestone_ok.label,Take the win
event_choices.ch_ev_d16_festival_go.label,Go with Wanqing
event_choices.ch_ev_d16_festival_skip.label,Claim dock work
event_choices.ch_ev_d20_storm_ok.label,"Survive first, scheme later"
event_choices.ch_ev_d4_salary_ok.label,Pocket it carefully
event_choices.ch_ev_flag_son_hostile_bow.label,Bow and soften tone
event_choices.ch_ev_flag_son_hostile_needle.label,Needle: 'Please be specific'
event_choices.ch_ev_flag_su_betray_mend.label,Soften—pull her back
event_choices.ch_ev_flag_su_betray_push.label,Force a side
event_choices.ch_ev_flag_su_gifts_confront.label,Ask coldly
event_choices.ch_ev_flag_su_gifts_use.label,Play generous—keep leverage
event_choices.ch_ev_flag_su_leak_ok.label,Note the key's place
event_choices.ch_ev_flag_su_leak_soft.label,Praise her courage first
event_choices.ch_ev_low_money_debuff_ok.label,Tighten the belt
event_choices.ch_ev_rank_foreman_remind_ok.label,Keep carrying it
event_choices.ch_fail_broke_ok.label,End
event_choices.ch_fail_fired_ok.label,End
event_choices.ch_intro_ok.label,Begin the day
events.ev_a_d10_list.body,"Chen slides a folded list past the cup: ""Hongyuan hands can be Tongyang's.""|||Wet ink holds shifts you know—and names you won't claim."
events.ev_a_d10_list.title,A Poachable List
events.ev_a_d12_probe.body,"Paper becomes voice. Chen taps the table: ""A berth that makes Hongyuan hurt—hurt enough, and the door opens.""|||Your old badge suddenly weighs."
events.ev_a_d12_probe.title,Tongyang Probes Again
events.ev_a_d14_tea.body,"Chen's man offers half for your schedule. His eyes weigh: desperate, or patient?|||Half is still a price—Tongyang never drinks tea free."
events.ev_a_d14_tea.title,Tongyang's Probe Price
events.ev_a_d15_leak.body,Tea room whisper: Tongyang ink on your cuff. Hongye doesn't call you—just adds a patrol that brushes your usual hatch.
events.ev_a_d15_leak.title,Ink on the Cuff
events.ev_a_d17_shadow.body,"The ""volunteer"" patrol skips your name, but steps stay half a zhang behind. No chant—only who has clean cuffs."
events.ev_a_d17_shadow.title,Hongyuan's Shadow Shift
events.ev_a_d18_order.body,Tongyang wants confirmation: can Hongyuan still seize tomorrow's berth? Your answer becomes a blade.
events.ev_a_d18_order.title,Night Before the Hijack
events.ev_a_d20_pressure.body,Word is Hongye hunts who fed manifests to Tongyang. You hitch your cuff walking—the ink smell seems to follow.
events.ev_a_d20_pressure.title,Hongyuan's Retaliation Rumor
events.ev_a_d21_packet.body,"A corner envelope holds four words: schedules, tonight. No name—but Tongyang ledger ink."
events.ev_a_d21_packet.title,A Sealed Envelope
events.ev_a_d23_wall.body,A codename appears on Tongyang's board. Chen: 'Not your real name—but enough.'
events.ev_a_d23_wall.title,A Name on the Wall
events.ev_a_d24_cover.body,"Someone slips you an altered manifest: 'If Tongyang traces you, blame dock rats.'"
events.ev_a_d24_cover.title,A Scapegoat Manifest
events.ev_a_d26_choice.body,At Tongyang's door you can still see Hongyuan's sign. Wind bends both flags.
events.ev_a_d26_choice.title,Hongyuan Behind You
events.ev_a_d28_ready.body,"Tongyang sends a note: three things for the cut—ship, tonnage, shift. Missing one dulls the blade."
events.ev_a_d28_ready.title,The Defect Checklist
events.ev_a_d30_hook.body,Day thirty thins. Tongyang's door isn't wide—just a crack. Hongyuan burns behind.|||The paper still rests on the jamb—in or not depends if you dare one more page.
events.ev_a_d30_hook.title,Tongyang's Door Crack
events.ev_a_d8_smoke.body,Corner smoke thins slowly. A Tongyang man says: 'We can wait for schedules. You can't.'
events.ev_a_d8_smoke.title,Corner Smoke
events.ev_a_d9_dock.body,A docker whispers: Tongyang asked your shift at the corner last night. You pretend not to hear the barb in the chant.
events.ev_a_d9_dock.title,An Old Dock Face
events.ev_a_first_strike.body,"Tongyang snatches a sailing order meant for Hongyuan. Chen only says, ""There will be more."" Your name appears on the rival board for the first time."
events.ev_a_first_strike.title,First Hijack Succeeds
events.ev_a_offer.body,Chen's man leaves a note at the dock corner: bring manifests and Tongyang will give you a seat.
events.ev_a_offer.title,Tongyang's Offer
events.ev_b_d10_tea.body,Only half a sentence left in the pantry: '…if the old man knew Shaoting rubber-stamped schedules…' They see you and swallow the rest.
events.ev_b_d10_tea.title,Half a Sentence in the Pantry
events.ev_b_d11_su_letter.body,"A note on the table: Shaoting invites her to the opera. It ends—""Ah-Hai, don't be angry."""
events.ev_b_d11_su_letter.title,Wanqing's Note
events.ev_b_d13_gift.body,"A box of foreign yarn at the door—no card. Wanqing says 'send it back,' but her fingers linger on the lid."
events.ev_b_d13_gift.title,Foreign Yarn Arrives
events.ev_b_d14_elder_drink.body,"After cups, an elder says Hongye and Shaoting fought over a ship—ledgers nearly slammed on the table."
events.ev_b_d14_elder_drink.title,Elder's Drunk Talk
events.ev_b_d16_fake_ledger.body,"Rumor: one finance page won't balance. Truth unclear—false still fits Shaoting's ear, and both jaws bite."
events.ev_b_d16_fake_ledger.title,Ledger Rumor
events.ev_b_d17_ledger_echo.body,The page you framed is mentioned again. Some blame Shaoting; some say Hongye plays deaf on purpose.
events.ev_b_d17_ledger_echo.title,Ledger Echo
events.ev_b_d19_su_afraid.body,"Under the lamp she grips your sleeve, knuckles white.|||""If father and son tear apart, will I be pulled in?""|||The question isn't only comfort—it's whether you still count her as a person, or a piece."
events.ev_b_d19_su_afraid.title,Wanqing Afraid
events.ev_b_d21_watchman.body,"Three glances back: the same man—dark blue tunic, brim equally low. The boss's suspicion grew legs on your usual stones."
events.ev_b_d21_watchman.title,A Tail
events.ev_b_d22_rain.body,"Rain hits the window. Wanqing asks: 'Those words you had me say… for Hongyuan, or for me?'"
events.ev_b_d22_rain.title,Rain-Night Confrontation
events.ev_b_d24_boardroom_noise.body,Through the wall: a slammed table. Shaoting yells about power; Hongye curses a wastrel heir.
events.ev_b_d24_boardroom_noise.title,Through the Wall
events.ev_b_d25_mirror.body,"In the washroom mirror you see yourself: smile intact, eyes no longer a stevedore's. The building's crack sits in your pupils."
events.ev_b_d25_mirror.title,Crack in the Mirror
events.ev_b_d27_promotion_hint.body,"Someone tugs your cuff: if father and son clash again, might warehouse chief empty?|||Honey and hook—you hear both, smile at neither."
events.ev_b_d27_promotion_hint.title,Promotion Whisper
events.ev_b_d28_calm_before.body,Hongyuan is too quiet. Everyone waits for a slammed table. The crack is wide enough.
events.ev_b_d28_calm_before.title,Night Before the Break
events.ev_b_d29_whisper.body,"Pantry, hall, warehouse door—all whisper of a showdown. Your name slips in between."
events.ev_b_d29_whisper.title,The Building Whispers
events.ev_b_d30_hook.body,"The tide changes month. Hongyuan's sign still hangs, but the house no longer feels like family. The real wind is only rising."
events.ev_b_d30_hook.title,Day Thirty Closing
events.ev_b_d8_corridor.body,"You cross Shaoting in the corridor. He looks at you like cargo in the way.|||Wanqing freezes afar, then pretends to fix her hair.|||Half a step of empty air between three people—whoever yields first loses face."
events.ev_b_d8_corridor.title,A Pause in the Corridor
events.ev_b_d9_night_shift.body,Night tide hits. You haul into the dark while another's promotion hangs on the board. Someone laughs: even a foreman falls.
events.ev_b_d9_night_shift.title,Night-Shift Sting
events.ev_b_pillow_talk.body,"Wanqing admits Shaoting complains his father will not share power. You ask her to ""casually"" mention the company books again."
events.ev_b_pillow_talk.title,Pillow Talk Works
events.ev_b_public_clash.body,"Shouts in the office block. Hongye smashes a cup; Shaoting slams the door. Whispers say Hongyuan will tear itself apart. In the corridor shadow, you see the crack open."
events.ev_b_public_clash.title,Father and Son Clash
events.ev_boss_watching.body,"Footsteps behind you. The boss's suspicion rises like tide—extra patrols, sharper tea taps, your name on addenda."
events.ev_boss_watching.title,Being Watched
events.ev_c_d10_tip.body,"A tea guest winks: Hongyuan ""insiders"" smash tonight. Half true—but his eyes keep flicking toward the Hongyuan board."
events.ev_c_d10_tip.title,A Wink in the Teahouse
events.ev_c_d12_open.body,"Three minutes to open, your fingers are all sweat. Someone laughs: first-timers always are."
events.ev_c_d12_open.title,Sweat Before the Open
events.ev_c_d13_tick.body,"Hongyuan drops half a tick for no reason. A lid taps: someone knew.|||You stare two beats longer—cuffs wet with sweat, your own book not yet due."
events.ev_c_d13_tick.title,Board Tick
events.ev_c_d15_margin.body,"Counter taps the abacus: ""One more night, margin due."" Tide outside sounds like collection.|||You count thrice—top up or fold, the pocket hurts either way."
events.ev_c_d15_margin.title,Sweat on Margin
events.ev_c_d16_audit.body,Hongyuan's 'internal audit' wind reaches the exchange. Some close; some add shorts. Your position hears the wind.
events.ev_c_d16_audit.title,Audit Whisper
events.ev_c_d17_rumor_war.body,One pot: true and false collide. Eyes on your cuff like a weather vane.|||Spine to the chair—don't let your face read the position.
events.ev_c_d17_rumor_war.title,Rumor Collision
events.ev_c_d18_ally.body,Outside VIP someone locks eyes for a second: same short on Hongyuan—not necessarily a friend.
events.ev_c_d18_ally.title,A Fellow Speculator's Look
events.ev_c_d19_vip.body,The broker leads you to the VIP door: 'Pockets go in heavy first.'
events.ev_c_d19_vip.title,VIP Door
events.ev_c_d21_spike.body,Board jumps two ticks. Shorts curse; longs clap. Whisper: Hongye's men defending.|||Leverage loosens half a notch—ready to tighten again.
events.ev_c_d21_spike.title,A Squeeze Spike
events.ev_c_d22_drift.body,Pre-open already lower. Cheers; a blown account tears at the counter.|||Tea heads lift: morning tide hits those who wouldn't let go first.
events.ev_c_d22_drift.title,Overnight Gap
events.ev_c_d24_broker.body,The broker says: 'White knights drink tonight.' Half true—but no one drinks for free at that table.
events.ev_c_d24_broker.title,Broker's Half-Truth
events.ev_c_d25_close_call.body,The board jumps two ticks against you. Leverage tightens on your neck. You hear your own teeth.
events.ev_c_d25_close_call.title,Near Liquidation
events.ev_c_d28_ready.body,"You lay out lots, margin, lies and truths. Tide sounds like a countdown. The demo finance blade needs one last cut."
events.ev_c_d28_ready.title,Night Before the First Pot
events.ev_c_d30_hook.body,Day thirty. Maybe you banked the first pot; maybe you're still on leverage. The exchange door cracks—higher play waits behind.
events.ev_c_d30_hook.title,The Exchange Hook
events.ev_c_d8_board.body,You stare at Hongyuan's board for the first time. Numbers tick like tide—and like someone else's breath.
events.ev_c_d8_board.title,First Glance at the Board
events.ev_c_d9_ledger.body,In the teahouse someone turns the finance crack into 'an audit soon.' The board twitches like a throat grabbed.
events.ev_c_d9_ledger.title,Ledger Rumor Hits Market
events.ev_c_first_short.body,Bad news hits; Hongyuan stock drops. You close the position—palms wet with sweat and silver. Exchange men start talking longer with you.
events.ev_c_first_short.title,First Short Pays
events.ev_c_profit_milestone.body,"You close the position; silver weighs heavy. Exchange men start calling you ""sir."""
events.ev_c_profit_milestone.title,First Pot Secured
events.ev_d16_festival.body,"Dock folk burn incense at Tide Temple. Wanqing wants to go; Shaoting's car waits outside, harbor mud on the wheels.|||You stand in smoke—gods mute; eyes hotter than incense."
events.ev_d16_festival.title,Incense at the Tide Temple
events.ev_d20_storm.body,"Wind skews the board; berth ink bleeds in rain.|||Hongyuan, Tongyang, exchange—all cry opportunity, all hike collars from the wave. You pull the brim: chaos hides a hand."
events.ev_d20_storm.title,Outside the Eye
events.ev_d4_salary.body,"Pay is thinner than hoped. Some curse the supervisor, some the market.|||You warm the silver in your fist—still empty: too little for face, too little to stop the talk."
events.ev_d4_salary.title,Thin Payday
events.ev_day1_intro.body,"The dock wind feels kinder today. You are about to rise from loading foreman to warehouse chief, and Wanqing talks of marriage. For once, the future seems within reach."
events.ev_day1_intro.title,Promotion in Sight
events.ev_day3_son_notice.body,"On a dock inspection, Zhou Shaoting looks twice at Wanqing. His smile is light, as if weighing something he could take."
events.ev_day3_son_notice.title,Shaoting Notices Wanqing
events.ev_day5_promotion_stolen.body,"The posted name is not yours. The boss's man takes warehouse chief. Zhou Hongye calls you in, calm as weather talk: ""Ah-Hai, the night shift needs you more."""
events.ev_day5_promotion_stolen.title,Promotion Stolen
events.ev_day6_su_distance.body,You see Wanqing leave the vice office with a foreign handkerchief. She will not meet your eyes.
events.ev_day6_su_distance.title,Wanqing Draws Away
events.ev_day7_choice.body,"Night tide asks the same question: how long will you endure? For the first time you weigh three paths—stay and divide, join Tongyang, or gamble at the exchange."
events.ev_day7_choice.title,Choose Revenge
events.ev_fail_broke.body,Money's gone; debt remains. The docks don't care about ambition—only silver. Chants continue without your share.
events.ev_fail_broke.title,Broke
events.ev_fail_fired.body,"Hongyuan's door closes behind you. Suspicion, leverage, or one failed scheme finally knocks you off the table."
events.ev_fail_fired.title,Thrown Out
events.ev_flag_son_hostile.body,In the briefing Shaoting names you: 'Some foremen reach farther than their chants.' Every eye lands on your shoulders.
events.ev_flag_son_hostile.title,Shaoting Names You
events.ev_flag_su_betray_risk.body,"Wanqing won't meet your eyes. Tea goes cold, unfilled. If the crack isn't deep enough, she may move to the safer side first."
events.ev_flag_su_betray_risk.title,Her Eyes Dodge
events.ev_flag_su_gifts.body,"The yarn box is no longer at the door—it's in the cabinet. She says it won't go back.|||Shaoting's shadow is already in your door crack.|||Choose now: ask cold, or file it as leverage."
events.ev_flag_su_gifts.title,Gifts in the Cabinet
events.ev_flag_su_leak.body,"At night she mentions the old ledger key in Hongye's drawer—too familiar, as if she'd just heard it recited. She's started digging the Zhou house for you."
events.ev_flag_su_leak.title,Wanqing Lets Slip
events.ev_low_money_debuff.body,Empty pockets make even walking light. Bribes and entries narrow; today's actions feel half a beat late.
events.ev_low_money_debuff.title,Empty Pockets
events.ev_rank_foreman_remind.body,"The chant still answers you—crew backbone is prize and nail. If the tower takes more, the dock still knows Ah-Hai."
events.ev_rank_foreman_remind.title,Rank Reminder
flags.boss_watching.description,Boss has you watched
flags.can_join_tongyang.description,Eligible to negotiate defection
flags.ending_fail.description,Failure ending
flags.ending_route_a_ready.description,Route A milestone ready
flags.ending_route_b_ready.description,Route B milestone ready
flags.ending_route_c_ready.description,Route C milestone ready
flags.ending_show_a.description,Show ending A
flags.ending_show_b.description,Show ending B
flags.ending_show_c.description,Show ending C
flags.flag_finance_framed.description,Framed a finance gap
flags.flag_holding_long.description,Holding a long (simple)
flags.flag_holding_short.description,Holding a short (simple)
flags.flag_sold_intel.description,Sold intel to the rival
flags.flag_used_leverage.description,Used leverage
flags.flag_white_knight.description,Contacted a white knight
flags.forced_night_shift.description,Forced onto night shift
flags.joined_tongyang.description,Joined Tongyang
flags.low_money.description,Low-money debuff
flags.route_focus_a.description,Player leans defect route
flags.route_focus_b.description,Player leans divide route
flags.route_focus_c.description,Player leans market route
flags.son_hostile.description,Shaoting turns hostile
flags.son_notices_su.description,Shaoting has noticed Wanqing
flags.su_accepts_son_gifts.description,Wanqing accepts Shaoting's gifts
flags.su_leaks_zhou_info.description,Wanqing will leak Zhou news
flags.su_may_betray.description,Wanqing may betray you
flags.suspicion_light.description,Light suspicion
flags.suspicion_mid.description,Medium suspicion
flags.tension_high.description,Father–son tension is high
hotspots.company_boss.description,Hongye's office—one tap of the tea lid decides fates.
hotspots.company_boss.name,Boss's Office
hotspots.company_finance.description,Finance curtains stay shut; numbers bite.
hotspots.company_finance.name,Finance Doorway
hotspots.company_floor.description,Halls and screens; gossip outruns memos.
hotspots.company_floor.name,Main Office Floor
hotspots.company_vp.description,The VP's rooms—foreign yarn and mockery together.
hotspots.company_vp.name,Vice Manager's Office
hotspots.dock_board.description,Public wall for schedules and prices; ink often wet.
hotspots.dock_board.name,Harbor Board
hotspots.dock_corner.description,Corner smoke and whispers—for people you shouldn't meet.
hotspots.dock_corner.name,Dock Corner
hotspots.dock_loading.description,Where chants and brine run thickest.
hotspots.dock_loading.name,Loading Bay
hotspots.dock_office.description,The supervisor's hut—pens sharper than people.
hotspots.dock_office.name,Warehouse Office
hotspots.exchange_hall.description,Public board hall—sweat and abacus together.
hotspots.exchange_hall.name,Trading Floor
hotspots.exchange_tea.description,Exchange teahouse—true and false steep in one pot.
hotspots.exchange_tea.name,Rumor Tearoom
hotspots.exchange_vip.description,VIP room—curtains thick as if light audits books.
hotspots.exchange_vip.name,VIP Room
hotspots.home_bed.description,The only place that rinses suspicion a little.
hotspots.home_bed.name,Bedside
hotspots.home_desk.description,Your rented desk—where threads and proof spread.
hotspots.home_desk.name,Desk
hotspots.home_living.description,Living-room lamp oil and Wanqing's unfinished words.
hotspots.home_living.name,Living Room
hotspots.rival_lobby.description,Tongyang reception—brass plaque that glares.
hotspots.rival_lobby.name,Reception Hall
hotspots.rival_meet.description,Meeting room—lists hotter than tea.
hotspots.rival_meet.name,Meeting Room
hotspots.rival_office.description,Chen's inner office—closing the door picks a side.
hotspots.rival_office.name,Manager's Office
idle_chatter.chatter_all_rain.text,Rain on dock tin. Chant skips a beat; collars up to the nose.
idle_chatter.chatter_co_01.text,Pantry whispers: Shaoting crossed the boss again.
idle_chatter.chatter_co_02.text,"An elder sighs: ""If Hongyuan falls, it starts at home."""
idle_chatter.chatter_co_03.text,Perfume and foreign soap drift from the door crack.
idle_chatter.chatter_co_04.text,A stifled cough from the boss's office—anger held down.
idle_chatter.chatter_co_05.text,A new lock on finance; no one admits who holds the key.
idle_chatter.chatter_co_06.text,Tea room whisper: Shaoting told a wine-house—Hongyuan old rules should tear.
idle_chatter.chatter_co_07.text,Someone found VP porcelain shards—Shaoting's smash last night; no one dares sweep.
idle_chatter.chatter_co_08.text,A box of foreign yarn sits at the VP's—no one asks for whom.
idle_chatter.chatter_co_09.text,Finance curtains are shut tight—afraid of light.
idle_chatter.chatter_co_10.text,"Tea room half-line: father and son—again, over that promotion slot."
idle_chatter.chatter_co_11.text,Rumor: teacups shattered behind the boss's door.
idle_chatter.chatter_dock_01.text,Chant slips a line: north quay yin berth—manifest inked over again.
idle_chatter.chatter_dock_02.text,Someone curses the foreman for skimping—then goes quiet.
idle_chatter.chatter_dock_03.text,"A corner cigarette dies: ""Tongyang pays better."""
idle_chatter.chatter_dock_04.text,In the night tide someone curses: promotions were fixed.
idle_chatter.chatter_dock_05.text,"A corner of the board was torn, then pasted back."
idle_chatter.chatter_dock_06.text,"Tide out, sacks remain. Foreman: clear before sun, or silver forgets you."
idle_chatter.chatter_dock_07.text,The supervisor taps his pen like a drum.
idle_chatter.chatter_dock_08.text,Lanterns in a row. Shadows of contraband stretch.
idle_chatter.chatter_dock_09.text,"Corner smoke hangs. Someone waits a Tongyang meet, half a schedule in the cuff."
idle_chatter.chatter_ex_01.text,The board ticks; every guest looks up.
idle_chatter.chatter_ex_02.text,Someone mutters: fake news eats people too.
idle_chatter.chatter_ex_03.text,An apprentice cracks his voice bidding; the master only shakes his head.
idle_chatter.chatter_ex_04.text,VIP curtains stir; a gold cuff flashes again.
idle_chatter.chatter_ex_05.text,An apprentice asks if shorting is evil. The master: markets don't care.
idle_chatter.chatter_ex_06.text,"Fake news like tide: quick in, quick out, footprints everywhere."
idle_chatter.chatter_ex_07.text,Hongyuan short jumps half a tick. Applause; someone crumples a margin slip.
idle_chatter.chatter_ex_08.text,VIP curtains are thicker—as if light audits books.
idle_chatter.chatter_ex_09.text,False and true rumors steep in the same pot.
idle_chatter.chatter_ex_10.text,"Some call leverage a ladder; others, a noose."
idle_chatter.chatter_home_01.text,Tide outside counts your ambitions one by one.
idle_chatter.chatter_home_02.text,A bright button on the table—not yours.
idle_chatter.chatter_home_03.text,"A clipping on the desk still wet with the word ""price""."
idle_chatter.chatter_home_04.text,A woman's laugh next door cuts off short.
idle_chatter.chatter_home_05.text,Wanqing turns the lamp down—like turning down a worry.
idle_chatter.chatter_home_06.text,Porridge still warm. The tide outside is awake.
idle_chatter.chatter_home_07.text,Arrows on paper point three ways—then scratched out.
idle_chatter.chatter_home_bed_01.text,The bed creaks. Suspicion tides out—then in again.
idle_chatter.chatter_home_bed_02.text,In dreams someone slams a table—and someone calls your old nickname.
idle_chatter.chatter_rival_01.text,"A Tongyang clerk grins: ""Hongyuan cargo always leaks."""
idle_chatter.chatter_rival_02.text,Tea goes cold in the meeting room: Tongyang only digs in with manifests.
idle_chatter.chatter_rival_03.text,A whisper: Hongyuan's sailing could change names tonight.
idle_chatter.chatter_rival_04.text,"Tongyang smile measured: first checks your cuff for a manifest edge, then refills tea."
idle_chatter.chatter_rival_05.text,A schedule hangs; Hongyuan is inked over.
idle_chatter.chatter_rival_06.text,"Someone whispers: hijack fast, or become a joke."
location.company.enter,"Floors shine; people tread light. Here, speech watches who listens."
location.dock.enter,Tide and chants hit you. Hongyuan's yard never asks if you're tired.
location.exchange.enter,Prices tick like the tide. Muscle means nothing—news does.
location.home.enter,Oil smoke and old paper. A place you still command.
location.rival.enter,Tongyang's incense hits harder than Hongyuan. Smiles hide scales.
locations.company.description,"Office politics, the Zhou family, secrets, division"
locations.company.name,Hongyuan Trading Co.
locations.dock.description,"Labor, street intel, cargo watch, low contacts"
locations.dock.name,Dock Yard
locations.exchange.description,"Trading, rumors, and capital"
locations.exchange.name,Stock Exchange
locations.home.description,"Rest, sort intel, fiancée scenes, cool suspicion"
locations.home.name,Rented Room
locations.rival.description,"Rival contact, defection, intel sales, strikes"
locations.rival.name,Tongyang Firm
